"Fixture","Total","Passed","Failed","Skipped"
"GoLive.Tests.ApartmentLightingPlayModeTests","6","6","0","0"
"GoLive.Tests.DeliveryPlayModeTests","34","34","0","0"
"GoLive.Tests.DeliveryStateTests","23","23","0","0"
"GoLive.Tests.Desktop.DesktopCompletionTests","5","5","0","0"
"GoLive.Tests.Desktop.DesktopStateTests","4","4","0","0"
"GoLive.Tests.DesktopAccountTests","22","22","0","0"
"GoLive.Tests.DesktopContentTests","7","7","0","0"
"GoLive.Tests.DesktopFlowPlayModeTests","1","1","0","0"
"GoLive.Tests.DesktopSaveIntegrationTests","40","40","0","0"
"GoLive.Tests.DesktopStorageTests","22","22","0","0"
"GoLive.Tests.DesktopWindowsTests","6","6","0","0"
"GoLive.Tests.HudTypographyTests","2","2","0","0"
"GoLive.Tests.InputBindingsTests","13","13","0","0"
"GoLive.Tests.InventoryPlayModeTests","20","20","0","0"
"GoLive.Tests.InventoryTests","4","4","0","0"
"GoLive.Tests.ItemContentTests","7","7","0","0"
"GoLive.Tests.PcAssemblyTests","25","25","0","0"
"GoLive.Tests.PcBuildingContentTests","15","15","0","0"
"GoLive.Tests.PcBuildingPlayModeTests","37","37","0","0"
"GoLive.Tests.PcBuildModeSequenceTests","5","5","0","0"
"GoLive.Tests.PcCapabilitiesTests","29","29","0","0"
"GoLive.Tests.PcPreinstalledPartsTests","10","10","0","0"
"GoLive.Tests.PcSessionPlayModeTests","7","7","0","0"
"GoLive.Tests.PcSessionTests","18","18","0","0"
"GoLive.Tests.PcWorkbenchPlayModeTests","11","11","0","0"
"GoLive.Tests.PcWorkbenchTextTests","10","10","0","0"
"GoLive.Tests.PhoneMessagesSaveTests","24","24","0","0"
"GoLive.Tests.PhoneMessagesTests","37","37","0","0"
"GoLive.Tests.PhoneSessionBaselineTests","6","6","0","0"
"GoLive.Tests.PhoneShopPlayModeTests","10","10","0","0"
"GoLive.Tests.PlayerControlsPlayModeTests","12","12","0","0"
"GoLive.Tests.PracticalLightMigrationTests","6","6","0","0"
"GoLive.Tests.PracticalLightTests","15","15","0","0"
"GoLive.Tests.RentHudPresentationTests","29","29","0","0"
"GoLive.Tests.ShopBehaviourTests","13","13","0","0"
"GoLive.Tests.ShopCartTests","10","10","0","0"
"GoLive.Tests.ShopCatalogDataTests","25","25","0","0"
"GoLive.Tests.ShopCheckoutTests","23","23","0","0"
"GoLive.Tests.ShopCommerceTests","3","3","0","0"
"GoLive.Tests.ShopSaveIntegrationTests","30","30","0","0"
"GoLive.Tests.ShopTextTests","19","19","0","0"
"GoLive.Tests.StreamSessionTests","18","18","0","0"
"GoLive.Tests.WalletTests","3","3","0","0"
